id HYSS litter adj_age adj_bf
LLCFJYA20398004 11202112 11203980 165.258140625 12.0207586435227
LLCFJYA15217402 11201531 11152174 163.848284768212 7.90336613907278
LLCFJYA20253208 11202112 11202532 193.44692842786 13.6881735954818
LLCFJYA16167102 11201741 11161671 147.22194302554 11.7989257421595
LLCFJYA19722411 11202012 11197224 177.390703841388 17.707980717729
LLCFJYA17190503 11201811 11171905 148.922896551724 7.81601341851459
LLCFJYB20209516 12202032 12202095 179.565428571429 12.259980904317
LLCFJYA16270114 11201712 11162701 138.036665457842 16.3681732165647
LLCFJYA20883509 11202022 11208835 152.207574297189 13.2563940069632
LLCFJYA17510314 11201722 11175103 158.707675889328 10.8737023393771
LLCFJYA18532108 11201832 11185321 146.371407407407 12.9938462920541
LLCFJYA16201114 11201742 11162011 131.30042384106 13.318615799863
LLCFJYA18962808 11201922 11189628 161.936585794094 14.4591999377989
LLCFJYA20262602 11202142 11202626 166.519172413793 13.6812387377949
LLCFJYB20197810 12202032 12201978 161.852337182448 16.8907356948229
LLCFJYA20392804 11202112 11203928 156.688876847291 12.2218414300004
LLCFJYA20023716 11202032 11200237 166.493812206573 14.3943860128398
LLCFJYA17249412 11201812 11172494 151.303766970618 8.10194579228545
LLCFJYA18820608 11201912 11188206 145.422583690987 10.3474523223303
LLCFJYA17634913 11201732 11176349 154.766066115702 19.3344472664082
LLCFJYA15215711 11201532 11152157 145.375161524501 16.9286790292032
LLCFJYA17173501 11201811 11171735 146.830211618257 14.2368243698612
LLCFJYA15267711 11201542 11152677 146.722757637475 20.7617199428656
LLCFJYA16309502 11201711 11163095 138.252090225564 15.0859020022674
LLCFJYA18584611 11201832 11185846 153.840640548482 13.7211023099179
LLCFJYA17532311 11201722 11175323 160.804196078431 13.7341309405118
LLCFJYA17656215 11201732 11176562 149.140903553299 13.603588034399
LLCFJYA16265401 11201711 11162654 141.957574585635 12.0212128905737
LLCFJYA15199914 11201532 11151999 148.483601677149 10.6753077039964
LLCFJYA15219112 11201532 11152191 141.180071428571 13.7974331179812
LLCFJYA14054816 11201542 11140548 156.980421825813 12.4671550981088
LLCFJYA14048114 11201442 11140481 154.206384769539 13.826766231877
