id HYSS litter adj_age adj_bf
YYCFJYA15409815 11201612 11154098 136.82256302521 15.3372781065089
YYCFJYA18532006 11201832 11185320 172.671490134995 12.4198978626821
YYCFJYA18612918 11201842 11186129 160.528573407202 15.8015967385765
YYCFJYA20804612 11202022 11208046 156.811370582617 10.9305764850184
YYCFJYA18316512 11201822 11183165 149.085995670996 15.7669281255002
YYCFJYB20122601 12202021 12201226 143.353475336323 17.3410542445086
YYCFJYA20052707 11202032 11200527 154.055306122449 12.4911838790932
YYCFJYB20212508 12202032 12202125 157.304781859931 14.8504661280298
YYCFJYA16313711 11201712 11163137 153.066515151515 13.1198819623755
YYCFJYA17781512 11201742 11177815 158.705589451913 14.4352741661956
YYCFJYA20964810 11202032 11209648 176.578288288288 14.4820846905537
YYCFJYB20209101 12202031 12202091 162.995149253731 13.5813805216876
YYCFJYA20151710 11202142 11201517 209.655402193784 15.4711544934366
YYCFJYB19307110 12202012 12193071 172.04 14.3385093167702
YYCFJYA20047316 11202032 11200473 171.138018147087 12.2729279831786
YYCFJYB20285608 12202042 12202856 172.029495798319 10.6678899082569
YYCFJYA17571703 11201731 11175717 158.760436893204 11.6735493348568
YYCFJYA15177902 11201521 11151779 143.162640449438 16.1566781266554
YYCFJYB20052503 12202021 12200525 160.229022988506 11.6064936304719
YYCFJYA15230202 11201531 11152302 138.622222222222 15.9516539944685
YYCFJYA18622414 11201842 11186224 173.310454545455 13.7441393168118
YYCFJYA18992808 11201922 11189928 165.860945945946 14.5386914646297
YYCFJYA20359005 11202111 11203590 183.961226435654 8.55642573727624
YYCFJYB19399602 12202011 12193996 161.22683714002 14.0085916445169
YYCFJYA15313001 11201641 11153130 148.181542056075 12.1098147483746
YYCFJYB19209012 12201942 12192090 148.003037068239 15.3731855782738
YYCFJYA18494212 11201832 11184942 155.390903614458 12.124765638316
YYCFJYA19718705 11202011 11197187 173.515784780024 10.5660395942086
YYCFJYA15136502 11201521 11151365 159.872096188748 10.7754590260221
