id HYSS litter adj_age adj_bf
DDCFJYA20212710 11202142 11202127 222.554287037037 12.7610732716409
DDCFJYA20315104 11202112 11203151 158.386341130604 12.6259996244009
DDCFJYA18960007 11201912 11189600 166.586125628141 17.081745703542
DDCFJYB20047008 12202022 12200470 153.219617131063 14.6342036476263
DDCFJYB20014504 12202022 12200145 151.332428571429 14.3338747222984
DDCFJYA16672503 11201621 11166725 134.511311396469 12.8293488229899
DDCFJYA20255806 11202142 11202558 176.305545454545 12.5945597959487
DDCFJYA18831203 11201911 11188312 175.657310598111 12.5554461296041
DDCFJYB20141108 12202032 12201411 152.352141732283 13.8873323215279
DDCFJYB20174006 12202032 12201740 159.516370177268 17.9025233858997
DDCFJYA18904306 11201912 11189043 153.382821631879 11.4102711114751
DDCFJYB19308305 12202012 12193083 174.639775079197 14.8534709268912
DDCFJYA17237711 11201812 11172377 150.607478873239 9.05198255696422
DDCFJYA20351002 11202112 11203510 179.2858346362 12.2257430870604
DDCFJYA16227714 11201742 11162277 145.842225296443 13.841031027337
DDCFJYB20202202 12202032 12202022 132.964356890459 11.3642542126596
DDCFJYA19610909 11202042 11196109 141.16132599837 11.9941076104135
DDCFJYA16578102 11201621 11165781 145.629592334495 14.833575677462
DDCFJYA20391106 11202112 11203911 147.764520315841 16.907785913169
DDCFJYB20176908 12202032 12201769 137.312156812339 13.2777201046369
DDCFJYA20936608 11202022 11209366 167.359979591837 11.9283350084406
DDCFJYA17747911 11201742 11177479 139.368456503728 14.1888705154936
DDCFJYA16601306 11201621 11166013 140.421922535211 12.6771695594126
DDCFJYA18357407 11201822 11183574 141.366617977528 15.3790178260162
DDCFJYB20340314 12202142 12203403 172.630192422732 16.1536175451656
DDCFJYA17009604 11201841 11170096 155.208675090253 12.7081339712919
DDCFJYA16613102 11201621 11166131 145.650577181208 11.3489795918367
DDCFJYA16233313 11201712 11162333 150.737156217883 11.29180298877
DDCFJYA16003212 11201632 11160032 138.397941580756 16.9408558830585
DDCFJYB20230808 12202032 12202308 174.677167664671 15.794288539571
DDCFJYA20884506 11202022 11208845 171.696929892892 13.3548828617012
DDCFJYA17271016 11201812 11172710 163.535518201285 11.741716982867
DDCFJYA18879210 11201912 11188792 147.303675159236 13.7017074514124
DDCFJYA18764708 11201942 11187647 172.979994413408 10.0055223928241
DDCFJYA16307002 11201711 11163070 139.63657118928 12.683858643744
DDCFJYA18663207 11201841 11186632 149.032437764606 15.379765160045
DDCFJYA17219702 11201811 11172197 160.833660194175 13.6155254485536
DDCFJYA18581402 11201831 11185814 137.374384615385 9.35760422783324
DDCFJYA17107001 11201811 11171070 156.337484848485 13.9628716937736
DDCFJYA15482403 11201611 11154824 151.501525667351 13.8386723272868
DDCFJYA16153502 11201741 11161535 145.569346820809 13.5165394402036
DDCFJYA15453502 11201611 11154535 151.020732776618 10.4116032928263
DDCFJYA20245204 11202142 11202452 162.36021875 10.9622202429028
DDCFJYA17235712 11201812 11172357 136.455258783205 12.9328442577632
DDCFJYA16019511 11201632 11160195 153.316434782609 15.0525585348411
DDCFJYA16003111 11201632 11160031 161.900314516129 13.9064804544709
DDCFJYA17733811 11201742 11177338 144.174973063973 8.47502859321388
DDCFJYA18500410 11201832 11185004 179.025188351921 13.4923398410444
DDCFJYA18711306 11201942 11187113 150.414752535497 10.1358155237144
DDCFJYA17257211 11201812 11172572 151.554846153846 11.2696580735627
DDCFJYB20507412 12202112 12205074 151.808721179625 11.5809702614688
